location_code,location_name,total_cases,new_cases,recovered_cases,death_cases,Nationality
12,រាជធានីភ្នំពេញ,11,1,0,0,១. ខ្មែរ (៧);២. បែលហ្សិក (១);៣. កាណាដា (១);៤. បារាំង (២)
18,ក្រុងព្រះសីហនុ,1,0,1,0,១. ចិន (១)
17,ខេត្តសៀមរាប,2,0,0,0,១. ខ្មែរ (២)
03,ខេត្តកំពង់ចាម,10,1,0,0,១. អង់គ្លេស (៣);២. ម៉ាឡេស៊ី (៧)
02,ខេត្តបាត់ដំបង,8,2,0,0,១. ខែ្មរ (៨)
13,ខេត្តព្រះវិហារ,2,0,0,0,១. ខែ្មរ (២)
01,ខេត្តបន្ទាយមានជ័យ,2,0,0,0,១. ខ្មែរ (២)
04,ខេត្តកំពង់ឆ្នាំង,3,0,0,0,១. ខែ្មរ (៣)
07,ខេត្តកំពត,2,0,0,0,១. ម៉ាឡេស៊ី (២)
25,ខេត្តត្បូងឃ្មុំ,4,0,0,0,១. ខែ្មរ (៤)
23,ខេត្តកែប,4,0,0,0,១. ខ្មែរ (១);២. ម៉ាឡេស៊ី (៣)
09,ខេត្តកោះកុង,1,0,0,0,១. ខែ្មរ (១)
08,ខេត្តកណ្តាល,1,0,0,0,១. ខែ្មរ (១)
